Date,Close
2010-01-04,84.79638671875
2010-01-05,85.02084350585938
2010-01-06,85.08072662353516
2010-01-07,85.43982696533203
2010-01-08,85.72418212890625
2010-01-11,85.8438949584961
2010-01-12,85.04328155517578
2010-01-13,85.76158905029297
2010-01-14,85.9935302734375
2010-01-15,85.0283432006836
2010-01-19,86.0907974243164
2010-01-20,85.21537780761719
2010-01-21,83.57674407958984
2010-01-22,81.71366882324219
2010-01-25,82.13267517089844
2010-01-26,81.78852844238281
2010-01-27,82.17760467529297
2010-01-28,81.23480987548828
2010-01-29,80.3519058227539
2010-02-01,81.6014633178711
2010-02-02,82.58910369873047
2010-02-03,82.17760467529297
2010-02-04,79.64109802246094
2010-02-05,79.8056869506836
2010-02-08,79.2295913696289
2010-02-09,80.22472381591797
2010-02-10,80.0676040649414
2010-02-11,80.90560913085938
2010-02-12,80.83826446533203
2010-02-16,82.1102523803711
2010-02-17,82.49934387207031
2010-02-18,82.98571014404297
2010-02-19,83.15776062011719
2010-02-22,83.17274475097656
2010-02-23,82.16263580322266
2010-02-24,82.91832733154297
2010-02-25,82.80609893798828
2010-02-26,82.85845947265625
2010-03-01,83.71891784667969
2010-03-02,83.95087432861328
2010-03-03,84.02570343017578
2010-03-04,84.28009033203125
2010-03-05,85.4847183227539
2010-03-08,85.49971771240234
2010-03-09,85.64185333251953
2010-03-10,86.0234603881836
2010-03-11,86.3825912475586
2010-03-12,86.39009857177734
2010-03-15,86.41252136230469
2010-03-16,87.10091400146484
2010-03-17,87.61717224121094
2010-03-18,87.57229614257812
2010-03-19,87.12903594970703
2010-03-22,87.59484100341797
2010-03-23,88.21089172363281
2010-03-24,87.78266906738281
2010-03-25,87.639892578125
2010-03-26,87.58729553222656
2010-03-29,88.14326477050781
2010-03-30,88.20337677001953
2010-03-31,87.90287017822266
2010-04-01,88.50392150878906
2010-04-05,89.22516632080078
2010-04-06,89.43553161621094
2010-04-07,88.92462921142578
2010-04-08,89.232666015625
2010-04-09,89.81868743896484
2010-04-12,89.9614486694336
2010-04-13,90.02906036376953
2010-04-14,91.05084228515625
2010-04-15,91.12596893310547
2010-04-16,89.67594146728516
2010-04-19,90.01405334472656
2010-04-20,90.81793975830078
2010-04-21,90.65266418457031
2010-04-22,90.92312622070312
2010-04-23,91.5166244506836
2010-04-26,91.1710205078125
2010-04-27,89.01480865478516
2010-04-28,89.69095611572266
2010-04-29,90.80289459228516
2010-04-30,89.26273345947266
2010-05-03,90.41973114013672
2010-05-04,88.2935562133789
2010-05-05,87.76763153076172
2010-05-06,84.8525619506836
2010-05-07,83.5903549194336
2010-05-10,87.27180480957031
2010-05-11,87.02386474609375
2010-05-12,88.24092864990234
2010-05-13,87.14405059814453
2010-05-14,85.56631469726562
2010-05-17,85.61138916015625
2010-05-18,84.44686889648438
2010-05-19,83.96603393554688
2010-05-20,80.79549407958984
2010-05-21,81.97505187988281
2010-05-24,80.92321014404297
2010-05-25,81.00586700439453
2010-05-26,80.51753234863281
2010-05-27,83.21468353271484
2010-05-28,82.17042541503906
2010-06-01,80.78799438476562
2010-06-02,82.89166259765625
2010-06-03,83.17715454101562
2010-06-04,80.25452423095703
2010-06-07,79.25530242919922
