Date,Close
2010-01-04,13.337220191955566
2010-01-05,13.49550724029541
2010-01-06,13.565862655639648
2010-01-07,13.653797149658203
2010-01-08,13.841397285461426
2010-01-11,13.730010986328125
2010-01-12,13.595170974731445
2010-01-13,13.50136947631836
2010-01-14,13.595170974731445
2010-01-15,13.319629669189453
2010-01-18,13.348949432373047
2010-01-19,13.419294357299805
2010-01-20,13.1027193069458
2010-01-21,12.721653938293457
2010-01-22,12.487156867980957
2010-01-25,12.493017196655273
2010-01-26,12.475433349609375
2010-01-27,12.182308197021484
2010-01-28,12.024016380310059
2010-01-29,12.229205131530762
2010-02-01,12.422670364379883
2010-02-02,12.586817741394043
2010-02-03,12.40507984161377
2010-02-04,11.742616653442383
2010-02-05,11.478803634643555
2010-02-08,11.490527153015137
2010-02-09,11.566739082336426
2010-02-10,11.89504337310791
2010-02-11,11.730890274047852
2010-02-12,11.590193748474121
2010-02-15,11.701581001281738
2010-02-16,11.930218696594238
2010-02-17,12.176440238952637
2010-02-18,12.1881685256958
2010-02-19,12.258519172668457
2010-02-22,12.328868865966797
2010-02-23,12.094369888305664
2010-02-24,12.158856391906738
2010-02-25,11.988842010498047
2010-02-26,12.13540267944336
2010-03-01,12.06505298614502
2010-03-02,12.246793746948242
2010-03-03,12.428534507751465
2010-03-04,12.539921760559082
2010-03-05,12.92684555053711
2010-03-08,12.920984268188477
2010-03-09,12.80959701538086
2010-03-10,12.973742485046387
2010-03-11,12.874078750610352
2010-03-12,12.973742485046387
2010-03-15,12.844769477844238
2010-03-16,13.026507377624512
2010-03-17,13.249284744262695
2010-03-18,13.079272270202637
2010-03-19,13.079272270202637
2010-03-22,12.985475540161133
2010-03-23,13.1144437789917
2010-03-24,13.096858978271484
2010-03-25,13.343079566955566
2010-03-26,13.3313627243042
2010-03-29,13.296189308166504
2010-03-30,13.214102745056152
2010-03-31,13.120309829711914
2010-04-01,13.378253936767578
2010-04-06,13.466195106506348
2010-04-07,13.425158500671387
2010-04-08,13.208246231079102
2010-04-09,13.477922439575195
2010-04-12,13.618620872497559
2010-04-13,13.571720123291016
2010-04-14,13.72414493560791
2010-04-15,13.911744117736816
2010-04-16,13.536544799804688
2010-04-19,13.407569885253906
2010-04-20,13.571720123291016
2010-04-21,13.378253936767578
2010-04-22,13.126164436340332
2010-04-23,13.173070907592773
2010-04-26,13.378253936767578
2010-04-27,12.80959701538086
2010-04-28,12.680620193481445
2010-04-29,12.92684555053711
2010-04-30,12.780282974243164
2010-05-03,12.92684555053711
2010-05-04,12.31127643585205
2010-05-05,12.006428718566895
2010-05-06,11.490527153015137
2010-05-07,10.745988845825195
2010-05-10,12.639580726623535
2010-05-11,12.44025707244873
2010-05-12,12.539921760559082
2010-05-13,12.428534507751465
2010-05-14,11.783652305603027
2010-05-17,11.812966346740723
2010-05-18,12.018155097961426
2010-05-19,11.637090682983398
2010-05-20,11.426042556762695
2010-05-21,11.537425994873047
2010-05-24,11.555013656616211
2010-05-25,11.12118911743164
2010-05-26,11.332239151000977
2010-05-27,11.637090682983398
